Airline,Origin,Destination,Flight Number,Price ($),Flight Duration (hrs)
Spirit,Chicago,San Diego,2216,368,4.782242661808628
JetBlue,Philadelphia,Dallas,9763,233,2.217720898725427
Spirit,San Jose,Phoenix,9103,282,3.549302188210491
United,Philadelphia,Los Angeles,2338,139,4.930180025052936
American Airlines,Houston,Dallas,6757,350,2.1600662896174985
American Airlines,Philadelphia,Chicago,9186,284,2.9817761765509747
Delta,Dallas,Chicago,2613,365,2.4827666402163286
JetBlue,New York,San Antonio,9326,384,4.063841558267573
JetBlue,Philadelphia,Houston,3420,344,4.822761839245777
Southwest,San Diego,Chicago,5874,497,3.4643609177081593
JetBlue,Dallas,Philadelphia,9523,407,3.3350070676799457
United,Dallas,Chicago,9102,89,2.409160612335884
United,Chicago,Los Angeles,2235,93,1.9064608377329764
JetBlue,Phoenix,Dallas,5949,200,2.532317334746241
JetBlue,Chicago,Dallas,2111,202,3.8299402934036384
Spirit,San Diego,Philadelphia,2155,443,4.1695931387307645
Southwest,New York,San Diego,7539,79,1.2371799083262793
JetBlue,Philadelphia,Houston,4736,78,4.688131397892158
Frontier,Dallas,Houston,1777,371,2.979018163750754
United,Phoenix,New York,7834,265,4.02513083106913
American Airlines,San Diego,Phoenix,4880,72,4.93869649370839
Frontier,Los Angeles,San Antonio,7686,194,4.295701151678982
Southwest,Philadelphia,Los Angeles,9169,163,3.731585035228427
Southwest,San Jose,San Diego,2224,99,5.735631605361786
JetBlue,Philadelphia,San Antonio,5904,114,1.7730232945528948
Southwest,Dallas,Philadelphia,7231,471,4.115190649607992
Delta,San Jose,Houston,7528,426,2.9505740299172065
United,San Diego,New York,7011,294,5.182577108062
United,San Diego,San Antonio,2504,325,4.859129486136778
JetBlue,Chicago,Dallas,6230,166,4.244427811871375
Spirit,Houston,Dallas,5452,125,4.372060683535168
Frontier,San Antonio,San Jose,1591,145,3.388957803000829
Spirit,Los Angeles,San Diego,8848,284,1.1724094159349403
Delta,New York,Chicago,1736,61,5.125474268706632
Southwest,Phoenix,Los Angeles,7175,159,5.9807256469659285
JetBlue,San Antonio,Houston,8130,498,1.5537267078875678
Spirit,San Jose,New York,8224,119,5.939340519630954
Southwest,San Jose,Dallas,3525,291,1.8134273348747179
Southwest,San Diego,Dallas,1197,448,4.758012815506151
United,Phoenix,San Diego,1569,177,2.450809380230048
JetBlue,San Diego,Philadelphia,1028,246,4.8314784300494065
American Airlines,Los Angeles,Philadelphia,1192,323,5.0675076297256085
American Airlines,Chicago,Houston,4002,392,3.5617192064548715
American Airlines,Phoenix,Los Angeles,5781,141,1.6223946119213082
American Airlines,Philadelphia,San Antonio,3744,296,3.298985279906142
Frontier,Phoenix,San Antonio,5654,411,4.255401232253821
Frontier,Houston,San Antonio,4632,126,4.806277870703778
Spirit,Chicago,Dallas,6369,123,3.3851322074309476
Southwest,San Jose,San Antonio,9065,287,5.3484613837661135
Southwest,San Diego,New York,8124,373,1.016837597548916
Delta,Chicago,New York,6790,447,2.4362168492297425
JetBlue,Philadelphia,San Antonio,8956,288,3.986233556686301
Spirit,Dallas,Philadelphia,2711,388,5.282776142878777
United,Los Angeles,Houston,6381,100,4.784719539546552
United,Philadelphia,Los Angeles,7049,249,3.3441514564927255
JetBlue,San Diego,Houston,9751,300,4.21451375879834
Spirit,Houston,San Diego,7644,206,4.423789083103406
